quantity_unit,simplification_classification,u_conv,q_conv,marchandises_et_quantités,prix_predit,prix_calculé
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
quintaux,amandes,kg,48.949999,amandesquintaux,,59.98466
livres,amidon,kg,.48949999,amidonlivres,.4121775,
livres,amidon,kg,.48949999,amidonlivres,.4121775,
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21775
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21776
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21777
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21778
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21779
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21780
quintaux,amidon,kg,48.949999,amidonquintaux,,41.21781
livres,anchois,kg,.48949999,anchoislivres,,
livres,anchois,kg,.48949999,anchoislivres,,
quintaux,anchois,kg,48.949999,anchoisquintaux,,
quintaux,anchois,kg,48.949999,anchoisquintaux,,
livres,anis,kg,.48949999,anislivres,,
livres,antimoine,kg,.48949999,antimoinelivres,.53323281,
livres,antimoine,kg,.48949999,antimoinelivres,.53323281,
milliers,ardoise,pièces,1000,ardoisemilliers,,
milliers,ardoise,pièces,1000,ardoisemilliers,,
nombres,ardoise,pièces,1,ardoisenombres,,
nombres,ardoise,pièces,1,ardoisenombres,,
livres,arsenic,kg,.48949999,arseniclivres,.4800615,
livres,avoine,kg,.48949999,avoinelivres,,
quintaux,avoine,kg,48.949999,avoinequintaux,,
quintaux,avoine,kg,48.949999,avoinequintaux,,
quintaux,avoine,kg,48.949999,avoinequintaux,,
quintaux,avoine,kg,48.949999,avoinequintaux,,
livres,azur,kg,.48949999,azurlivres,.85611516,
quintaux,azur,kg,48.949999,azurquintaux,,85.611516
quintaux,azur,kg,48.949999,azurquintaux,,85.611516
livres,badiane,kg,.48949999,badianelivres,,
livres,baleine coupée et en fanon,kg,.48949999,baleine coupée et en fanonlivres,,
livres,baleine coupée et en fanon,kg,.48949999,baleine coupée et en fanonlivres,,
livres,baleine coupée et en fanon,kg,.48949999,baleine coupée et en fanonlivres,,
quintaux,baleine coupée et en fanon,kg,48.949999,baleine coupée et en fanonquintaux,,
livres,barres de fer,kg,.48949999,barres de ferlivres,.18628119,
livres,barres de fer,kg,.48949999,barres de ferlivres,.18628119,
quintaux,barres de fer,kg,48.949999,barres de ferquintaux,,18.628119
quintaux,barres de fer,kg,48.949999,barres de ferquintaux,,18.628119
livres,beurre,kg,.48949999,beurrelivres,.68708402,
livres,beurre,kg,.48949999,beurrelivres,.68708402,
livres,beurre,kg,.48949999,beurrelivres,.68708402,
livres,beurre,kg,.48949999,beurrelivres,.68708402,
livres,beurre,kg,.48949999,beurrelivres,.68708402,
livres,beurre,kg,.48949999,beurrelivres,.68708402,
quintaux,beurre,kg,48.949999,beurrequintaux,,68.708402
quintaux,beurre,kg,48.949999,beurrequintaux,,68.708402
quintaux,beurre,kg,48.949999,beurrequintaux,,68.708402
quintaux,beurre,kg,48.949999,beurrequintaux,,68.708402
quintaux,beurre,kg,48.949999,beurrequintaux,,68.708402
Bouteilles,bière en bouteille,,,bière en bouteilleBouteilles,,2.2230628
Bouteilles,bière en bouteille,,,bière en bouteilleBouteilles,,2.2230628
bouteilles,bière en bouteille,,,bière en bouteillebouteilles,,2.2230628
muids,bière en muid,,,bière en muidmuids,,60.042191
muids,bière en muid,litres,268.22,bière en muidmuids,,60.042191
muids,bière en muid,,,bière en muidmuids,,60.042191
muids,bière en muid,,,bière en muidmuids,,60.042191
bouteilles,bière,,,bièrebouteilles,2.2230628,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
muids,bière,,,bièremuids,60.042191,
pintes,bière,litres,.952146,bièrepintes,.41656113,
pintes,bière,litres,.952146,bièrepintes,.41656113,
livres,biscuit de mer,kg,.48949999,biscuit de merlivres,.13463271,
livres,biscuit de mer,kg,.48949999,biscuit de merlivres,.13463271,
livres,biscuit de mer,kg,.48949999,biscuit de merlivres,.13463271,
livres,biscuit de mer,kg,.48949999,biscuit de merlivres,.13463271,
livres,bleu de Prusse,kg,.48949999,bleu de Prusselivres,4.654747,
en nombre,bœuf et génisses et vaches,pièces,1,bœuf et génisses et vachesen nombre,,
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
en nombre,bœuf et vaches,pièces,1,bœuf et vachesen nombre,,187.20753
nombre,bœuf et vaches,pièces,1,bœuf et vachesnombre,,187.20753
nombres,bœuf et vaches,pièces,1,bœuf et vachesnombres,,187.20753
en nombre,bœuf,pièces,1,bœufen nombre,187.20753,
livres,bois d'ébène,kg,.48949999,bois d'ébènelivres,,
quintaux,bois pour construction,kg,48.949999,bois pour constructionquintaux,,
livres,bonneterie de soie,kg,.48949999,bonneterie de soielivres,80.643906,
paires,bonneterie de soie,pièces,2,bonneterie de soiepaires,9.2996464,
paires,bonneterie de soie,pièces,2,bonneterie de soiepaires,9.2996464,
paires,bonneterie de soie,pièces,2,bonneterie de soiepaires,9.2996464,
paires,bonneterie de soie,pièces,2,bonneterie de soiepaires,9.2996464,
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
quintaux,bonneterie de soie,kg,48.949999,bonneterie de soiequintaux,,8064.3906
livres,bougie,kg,.48949999,bougielivres,,
livres,bougie,kg,.48949999,bougielivres,,
livres,bougie,kg,.48949999,bougielivres,,
livres,bougie,kg,.48949999,bougielivres,,
quintaux,bougie,kg,48.949999,bougiequintaux,,
quintaux,bougie,kg,48.949999,bougiequintaux,,
quintaux,bougie,kg,48.949999,bougiequintaux,,
livres,bourre de soie,kg,.48949999,bourre de soielivres,,
livres,bourre de soie,kg,.48949999,bourre de soielivres,,
quintaux,bourre de soie,kg,48.949999,bourre de soiequintaux,,
livres,brai et goudron et résines,kg,.48949999,brai et goudron et résineslivres,,
livres,brai et goudron et résines,kg,.48949999,brai et goudron et résineslivres,,
livres,brai et goudron et résines,kg,.48949999,brai et goudron et résineslivres,,
quintaux,brai et goudron et résines,kg,48.949999,brai et goudron et résinesquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
quintaux,brai et goudron,kg,48.949999,brai et goudronquintaux,,
en nombre,brebis et moutons,pièces,1,brebis et moutonsen nombre,,
en nombre,brebis et moutons,pièces,1,brebis et moutonsen nombre,,
milliers,briques,pièces,1000,briquesmilliers,,
milliers,briques,pièces,1000,briquesmilliers,,
nombre,briques,pièces,1,briquesnombre,,
nombres,briques,pièces,1,briquesnombres,,
livres,brun rouge,kg,.48949999,brun rougelivres,,
quintaux,cacao étranger,kg,48.949999,cacao étrangerquintaux,,
livres,cacao,kg,.48949999,cacaolivres,,
livres,cacao,kg,.48949999,cacaolivres,,
livres,cacao,kg,.48949999,cacaolivres,,
livres,cacao,kg,.48949999,cacaolivres,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
quintaux,cacao,kg,48.949999,cacaoquintaux,,
livres,café de Moka,kg,.48949999,café de Mokalivres,3,
livres,café de Moka,kg,.48949999,café de Mokalivres,3,
livres,café des Indes,kg,.48949999,café des Indeslivres,,
livres,café du Levant,kg,.48949999,café du Levantlivres,,
quintaux,café du Levant,kg,48.949999,café du Levantquintaux,,
quintaux,café du Levant,kg,48.949999,café du Levantquintaux,,
quintaux,café entré par Bordeaux et Le Havre,kg,48.949999,café entré par Bordeaux et Le Havrequintaux,,
livres,café,kg,.48949999,cafélivres,1.2589265,
livres,café,kg,.48949999,cafélivres,1.2589265,
livres,café,kg,.48949999,cafélivres,1.2589265,
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
quintaux,café,kg,48.949999,caféquintaux,,125.89265
livres,canefice,kg,.48949999,caneficelivres,,
livres,canefice,kg,.48949999,caneficelivres,,
quintaux,canefice,kg,48.949999,caneficequintaux,,
quintaux,canefice,kg,48.949999,caneficequintaux,,
livres,cannelle,kg,.48949999,cannellelivres,8.6228495,
livres,cannelle,kg,.48949999,cannellelivres,8.6228495,
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
quintaux,cannelle,kg,48.949999,cannellequintaux,,862.28595
livres,cantharides,kg,.48949999,cantharideslivres,3.5960741,
quintaux,cantharides,kg,48.949999,cantharidesquintaux,,359.60741
livres,câpres,kg,.48949999,câpreslivres,,
quintaux,câpres,kg,48.949999,câpresquintaux,,
quintaux,câpres,kg,48.949999,câpresquintaux,,
quintaux,câpres,kg,48.949999,câpresquintaux,,
livres,caret,kg,.48949999,caretlivres,,
livres,cauris des Indes,kg,.48949999,cauris des Indeslivres,,
livres,cauris,kg,.48949999,caurislivres,1.0412335,
quintaux,cendre de mer,kg,48.949999,cendre de merquintaux,,
quintaux,céruse,kg,48.949999,cérusequintaux,,
quintaux,chair salée,kg,48.949999,chair saléequintaux,,
quintaux,chair salée,kg,48.949999,chair saléequintaux,,
quintaux,chair salée,kg,48.949999,chair saléequintaux,,
quintaux,chair salée,kg,48.949999,chair saléequintaux,,
quintaux,chair salée,kg,48.949999,chair saléequintaux,,
quintaux,chandelle,kg,48.949999,chandellequintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre divers,kg,48.949999,chanvre diversquintaux,,
quintaux,chanvre,kg,48.949999,chanvrequintaux,,
quintaux,chanvre,kg,48.949999,chanvrequintaux,,
quintaux,chanvre,kg,48.949999,chanvrequintaux,,
douzaines,chapeaux de paille,pièces,12,chapeaux de pailledouzaines,13.43655,
douzaines,chapeaux de paille,pièces,12,chapeaux de pailledouzaines,13.43655,
douzaines,chapeaux de paille,pièces,12,chapeaux de pailledouzaines,13.43655,
quintaux,charbon de bois,kg,48.949999,charbon de boisquintaux,,
quintaux,charbon de bois,kg,48.949999,charbon de boisquintaux,,
quintaux,charbon de bois,kg,48.949999,charbon de boisquintaux,,
quintaux,charbon de terre,kg,48.949999,charbon de terrequintaux,,
quintaux,charbon de terre,kg,48.949999,charbon de terrequintaux,,
quintaux,charbon de terre,kg,48.949999,charbon de terrequintaux,,
quintaux,charbon de terre,kg,48.949999,charbon de terrequintaux,,
quintaux,charbon de terre,kg,48.949999,charbon de terrequintaux,,
quintaux,chardons à drapier,kg,48.949999,chardons à drapierquintaux,,
quintaux,châtaignes et marrons,kg,48.949999,châtaignes et marronsquintaux,,
boisseaux,châtaignes,litres,12.695,châtaignesboisseaux,,
quintaux,châtaignes,kg,48.949999,châtaignesquintaux,,
quintaux,chaux,kg,48.949999,chauxquintaux,,
en nombre,chevaux de labour,pièces,1,chevaux de labouren nombre,267.31763,
en nombre,chevaux de labour,pièces,1,chevaux de labouren nombre,267.31763,
en nombre,chevaux de labour,pièces,1,chevaux de labouren nombre,267.31763,
en nombre,chevaux,pièces,1,chevauxen nombre,158.20677,
en nombre,chevaux,pièces,1,chevauxen nombre,158.20677,
en nombre,chevaux,pièces,1,chevauxen nombre,158.20677,
nombre,chevaux,pièces,1,chevauxnombre,,158.20677
nombres,chevaux,pièces,1,chevauxnombres,,158.20677
quintaux,cidre jaune,kg,48.949999,cidre jaunequintaux,,
muids,cidre,,,cidremuids,41.208885,
quintaux,cinabre,kg,48.949999,cinabrequintaux,,
quintaux,cire blanche et jaune,kg,48.949999,cire blanche et jaunequintaux,,
quintaux,cire blanche et jaune,kg,48.949999,cire blanche et jaunequintaux,,
quintaux,cire blanche et jaune,kg,48.949999,cire blanche et jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cire jaune,kg,48.949999,cire jaunequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,cochenille,kg,48.949999,cochenillequintaux,,
quintaux,colle de poisson,kg,48.949999,colle de poissonquintaux,,
quintaux,colle de poisson,kg,48.949999,colle de poissonquintaux,,
quintaux,colle de poisson,kg,48.949999,colle de poissonquintaux,,
quintaux,colle forte,kg,48.949999,colle fortequintaux,,
quintaux,colle forte,kg,48.949999,colle fortequintaux,,
quintaux,colombine,kg,48.949999,colombinequintaux,,
quintaux,coloquinte,kg,48.949999,coloquintequintaux,,
quintaux,confitures,kg,48.949999,confituresquintaux,,
quintaux,cordage,kg,48.949999,cordagequintaux,,
livres,cornes de cerf,kg,.48949999,cornes de cerflivres,,
quintaux,cornes de cerf,kg,48.949999,cornes de cerfquintaux,,
livres,coton des Indes,kg,.48949999,coton des Indeslivres,,
livres,coton des Indes,kg,.48949999,coton des Indeslivres,,
quintaux,coton en laine de retour,kg,48.949999,coton en laine de retourquintaux,,
livres,coton en laine des Indes,kg,.48949999,coton en laine des Indeslivres,,
livres,coton en laine du Levant,kg,.48949999,coton en laine du Levantlivres,,
livres,coton en laine du Levant,kg,.48949999,coton en laine du Levantlivres,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine du Levant,kg,48.949999,coton en laine du Levantquintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton en laine,kg,48.949999,coton en lainequintaux,,
quintaux,coton filé de retour,kg,48.949999,coton filé de retourquintaux,,
quintaux,coton filé du Levant,kg,48.949999,coton filé du Levantquintaux,,
quintaux,coton filé du Levant,kg,48.949999,coton filé du Levantquintaux,,
quintaux,coton filé du Levant,kg,48.949999,coton filé du Levantquintaux,,
livres,coton filé,kg,.48949999,coton filélivres,5.707293,
livres,coton filé,kg,.48949999,coton filélivres,5.707293,
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton filé,kg,48.949999,coton filéquintaux,,570.7293
quintaux,coton par Dunkerque,kg,48.949999,coton par Dunkerquequintaux,,220.27478
livres,coton,kg,.48949999,cotonlivres,2.2027478,
quintaux,coton,kg,48.949999,cotonquintaux,,220.27478
livres,couperose,kg,.48949999,couperoselivres,.12724672,
livres,couperose,kg,.48949999,couperoselivres,.12724672,
quintaux,couperose,kg,48.949999,couperosequintaux,,12.724672
quintaux,couperose,kg,48.949999,couperosequintaux,,12.724672
quintaux,crin de cheval,kg,48.949999,crin de chevalquintaux,,
livres,crin,kg,.48949999,crinlivres,.86226344,
livres,cuirs apprêtés,kg,.48949999,cuirs apprêtéslivres,,
quintaux,cuirs de bœuf apprêtés,kg,48.949999,cuirs de bœuf apprêtésquintaux,,
livres,cuirs de bœuf en poil et cuir de vache en poil,kg,.48949999,cuirs de bœuf en poil et cuir de vache en poillivres,,
livres,cuirs de bœuf en poil et cuir de vache en poil,kg,.48949999,cuirs de bœuf en poil et cuir de vache en poillivres,,
nombre,cuirs de bœuf en poil et cuir de vache en poil,pièces,1,cuirs de bœuf en poil et cuir de vache en poilnombre,,23.207947
nombre,cuirs de bœuf en poil et cuir de vache en poil,pièces,1,cuirs de bœuf en poil et cuir de vache en poilnombre,,23.207947
en nombre,cuirs de bœuf en poil,pièces,1,cuirs de bœuf en poilen nombre,23.207947,
quintaux,cuirs de bœuf en poil,kg,48.949999,cuirs de bœuf en poilquintaux,,
quintaux,cuirs de bœuf en poil,kg,48.949999,cuirs de bœuf en poilquintaux,,
en nombre,cuirs en poil,pièces,1,cuirs en poilen nombre,,
en nombre,cuirs en poil,pièces,1,cuirs en poilen nombre,,
quintaux,cuirs en poil,kg,48.949999,cuirs en poilquintaux,,
livres,cuirs tannés,kg,.48949999,cuirs tannéslivres,1.1256719,
livres,cuivre,kg,.48949999,cuivrelivres,1.7320508,
livres,cuivre,kg,.48949999,cuivrelivres,1.7320508,
livres,cuivre,kg,.48949999,cuivrelivres,1.7320508,
livres,cuivre,kg,.48949999,cuivrelivres,1.7320508,
livres,cuivre,kg,.48949999,cuivrelivres,1.7320508,
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
quintaux,cuivre,kg,48.949999,cuivrequintaux,,173.20508
en nombre,dame-jeannes,pièces,1,dame-jeannesen nombre,,
en nombre,dame-jeannes,pièces,1,dame-jeannesen nombre,,
nombre,dame-jeannes,pièces,1,dame-jeannesnombre,,
livres,dattes,kg,.48949999,datteslivres,,
quintaux,dattes,kg,48.949999,dattesquintaux,,
livres,dentelle de fil,kg,.48949999,dentelle de fillivres,720.1391,
livres,dentelle de fil,kg,.48949999,dentelle de fillivres,720.1391,
livres,dentelle de fil,kg,.48949999,dentelle de fillivres,720.1391,
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
quintaux,dentelle de fil,kg,48.949999,dentelle de filquintaux,,72013.91
livres,dentelle de soie,kg,.48949999,dentelle de soielivres,324.37134,
livres,dentelle de soie,kg,.48949999,dentelle de soielivres,324.37134,
livres,dentelle de soie,kg,.48949999,dentelle de soielivres,324.37134,
quintaux,dentelle de soie,kg,48.949999,dentelle de soiequintaux,,32437.134
quintaux,dentelle de soie,kg,48.949999,dentelle de soiequintaux,,32437.134
quintaux,dentelle de soie,kg,48.949999,dentelle de soiequintaux,,32437.134
livres,dents d'éléphant,kg,.48949999,dents d'éléphantlivres,3.7896836,
livres,dents d'éléphant,kg,.48949999,dents d'éléphantlivres,3.7896836,
livres,dents d'éléphant,kg,.48949999,dents d'éléphantlivres,3.7896836,
livres,dents d'éléphant,kg,.48949999,dents d'éléphantlivres,3.7896836,
livres,dorure fine,kg,.48949999,dorure finelivres,149.86411,
muids,eau-de-vie d'Hendaye,,,eau-de-vie d'Hendayemuids,311.48053,
muids,eau-de-vie d'Hendaye,,,eau-de-vie d'Hendayemuids,311.48053,
